Name,Age,Overall,Club,Position,Crossing,ShortPassing,Dribbling,LongPassing,BallControl,Acceleration,SprintSpeed,ShotPower,Stamina,Strength,LongShots,Interceptions,Positioning,Penalties,StandingTackle,SlidingTackle,Best Overall Rating,DefensiveAwareness
Bruno Fernandes,26,88,Manchester United,CAM,87.0,91.0,83.0,88.0,87.0,77.0,73.0,89.0,91.0,70.0,89.0,66.0,87.0,91.0,73.0,65.0,88.0,72.0
L. Goretzka,26,87,FC Bayern München,LDM,75.0,86.0,84.0,84.0,87.0,78.0,83.0,85.0,88.0,88.0,86.0,86.0,85.0,60.0,85.0,77.0,87.0,74.0
L. Suárez,34,88,Atlético de Madrid,RS,80.0,83.0,83.0,77.0,86.0,76.0,69.0,89.0,78.0,85.0,88.0,41.0,91.0,83.0,45.0,38.0,88.0,42.0
K. De Bruyne,30,91,Manchester City,RCM,94.0,94.0,88.0,93.0,91.0,76.0,76.0,91.0,89.0,74.0,91.0,66.0,88.0,83.0,65.0,53.0,91.0,68.0
M. Acuña,29,84,Sevilla FC,LB,87.0,82.0,87.0,78.0,88.0,77.0,76.0,82.0,90.0,80.0,81.0,79.0,81.0,76.0,84.0,82.0,84.0,80.0
J. Kimmich,26,89,FC Bayern München,RDM,91.0,87.0,83.0,90.0,85.0,77.0,65.0,78.0,94.0,68.0,84.0,84.0,80.0,44.0,85.0,79.0,89.0,85.0
Paulinho,32,83,Al Ahli,LCM,67.0,82.0,82.0,76.0,83.0,73.0,71.0,83.0,91.0,82.0,80.0,80.0,83.0,71.0,79.0,75.0,83.0,80.0
G. Wijnaldum,30,84,Paris Saint-Germain,SUB,72.0,87.0,85.0,81.0,88.0,78.0,76.0,78.0,93.0,74.0,73.0,80.0,79.0,74.0,80.0,70.0,84.0,79.0
E. Can,27,82,Borussia Dortmund,SUB,69.0,83.0,82.0,83.0,79.0,67.0,87.0,85.0,88.0,86.0,81.0,84.0,76.0,60.0,87.0,86.0,85.0,81.0
A. Griezmann,30,85,Atlético de Madrid,LS,83.0,84.0,85.0,82.0,89.0,80.0,80.0,82.0,86.0,63.0,83.0,49.0,89.0,79.0,54.0,49.0,86.0,43.0
L. Modrić,35,87,Real Madrid CF,RCM,86.0,91.0,85.0,89.0,90.0,76.0,70.0,79.0,83.0,58.0,82.0,80.0,78.0,82.0,75.0,71.0,87.0,70.0
Marcos Llorente,26,86,Atlético de Madrid,RM,74.0,86.0,82.0,83.0,84.0,86.0,90.0,84.0,90.0,79.0,79.0,82.0,87.0,64.0,80.0,74.0,87.0,79.0
Sergio Ramos,35,88,Paris Saint-Germain,LCB,66.0,82.0,65.0,83.0,83.0,71.0,69.0,79.0,78.0,84.0,64.0,87.0,73.0,92.0,89.0,91.0,88.0,84.0
D. Alaba,29,84,Real Madrid CF,LB,80.0,85.0,77.0,80.0,84.0,78.0,77.0,82.0,75.0,76.0,78.0,85.0,73.0,79.0,83.0,82.0,84.0,86.0
Merino,25,83,Real Sociedad,RCM,77.0,84.0,83.0,82.0,84.0,73.0,75.0,84.0,84.0,79.0,78.0,84.0,78.0,58.0,84.0,76.0,85.0,80.0
N. Barella,24,84,Inter,RCM,69.0,86.0,83.0,79.0,87.0,80.0,76.0,69.0,95.0,69.0,72.0,84.0,83.0,73.0,75.0,79.0,87.0,74.0
Alex Telles,28,82,Manchester United,SUB,86.0,82.0,77.0,81.0,80.0,81.0,84.0,87.0,85.0,65.0,83.0,79.0,75.0,81.0,78.0,76.0,82.0,77.0
F. de Jong,24,87,FC Barcelona,RCM,78.0,91.0,88.0,87.0,89.0,80.0,82.0,68.0,90.0,74.0,66.0,82.0,77.0,45.0,76.0,77.0,89.0,76.0
M. Sabitzer,27,84,FC Bayern München,SUB,74.0,84.0,79.0,81.0,82.0,75.0,81.0,88.0,85.0,76.0,88.0,66.0,83.0,72.0,70.0,59.0,84.0,71.0
J. Cuadrado,33,83,Juventus,RM,84.0,81.0,90.0,69.0,85.0,91.0,89.0,84.0,78.0,66.0,80.0,73.0,75.0,65.0,80.0,83.0,83.0,75.0
Koke,29,85,Atlético de Madrid,RCM,85.0,86.0,80.0,84.0,83.0,72.0,69.0,83.0,93.0,75.0,80.0,83.0,83.0,67.0,81.0,70.0,85.0,82.0
João Cancelo,27,86,Manchester City,LB,86.0,85.0,85.0,78.0,85.0,86.0,84.0,80.0,90.0,62.0,75.0,80.0,80.0,46.0,82.0,80.0,86.0,79.0
L. Digne,27,84,Everton,LB,88.0,81.0,78.0,73.0,84.0,81.0,77.0,83.0,86.0,69.0,76.0,82.0,73.0,60.0,83.0,84.0,84.0,78.0
F. Kostić,28,84,Eintracht Frankfurt,LM,91.0,80.0,85.0,75.0,82.0,89.0,88.0,85.0,90.0,77.0,78.0,63.0,79.0,64.0,72.0,68.0,84.0,69.0
T. Alexander-Arnold,22,87,Liverpool,RB,92.0,86.0,78.0,90.0,86.0,77.0,80.0,82.0,88.0,63.0,75.0,82.0,77.0,55.0,83.0,79.0,87.0,80.0
S. Milinković-Savić,26,85,Lazio,RCM,64.0,85.0,84.0,85.0,86.0,66.0,70.0,83.0,91.0,87.0,80.0,78.0,79.0,56.0,79.0,74.0,86.0,78.0
