,Position,Count,Total Value,Normalised Value,Total Wage,Normalised Wage
0,CAM,283,3800000.0,13427.56183745583,4649250.0,16428.44522968198
1,CB,150,250000.0,1666.6666666666667,2013200.0,13421.333333333334
2,CDM,160,1000000.0,6250.0,2853250.0,17832.8125
3,CF,11,625000.0,56818.181818181816,612000.0,55636.36363636364
4,CM,75,1600000.0,21333.333333333332,934700.0,12462.666666666666
5,GK,572,1200000.0,2097.902097902098,7463250.0,13047.63986013986
6,LAM,22,1900000.0,86363.63636363637,302000.0,13727.272727272728
7,LB,423,12500000.0,29550.827423167848,5603300.0,13246.572104018913
8,LCB,609,850000.0,1395.7307060755336,7673150.0,12599.589490968801
9,LCM,395,5500000.0,13924.050632911392,5664100.0,14339.493670886075
10,LDM,191,550000.0,2879.581151832461,2768750.0,14496.073298429319
11,LF,30,3500000.0,116666.66666666667,443500.0,14783.333333333334
12,LM,358,5500000.0,15363.128491620111,4840600.0,13521.22905027933
13,LS,216,1300000.0,6018.518518518518,2923500.0,13534.722222222223
14,LW,185,1700000.0,9189.18918918919,3284150.0,17752.162162162163
15,LWB,92,275000.0,2989.1304347826085,899650.0,9778.804347826086
17,RAM,17,4700000.0,276470.5882352941,265700.0,15629.411764705883
18,RB,438,1800000.0,4109.58904109589,5980050.0,13653.082191780823
19,RCB,611,56500000.0,92471.35842880524,8088900.0,13238.788870703764
20,RCM,398,575000.0,1444.7236180904522,5799050.0,14570.477386934674
21,RDM,204,2500000.0,12254.901960784313,2865250.0,14045.343137254902
23,RF,31,1400000.0,45161.290322580644,520650.0,16795.16129032258
24,RM,361,5500000.0,15235.45706371191,4698400.0,13014.958448753463
25,RS,219,1400000.0,6392.6940639269405,2767150.0,12635.388127853881
26,RW,175,875000.0,5000.0,3212350.0,18356.285714285714
27,RWB,95,1800000.0,18947.36842105263,980900.0,10325.263157894737
28,ST,466,7000000.0,15021.45922746781,8423550.0,18076.287553648068
